1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,27,32,0,0,0,35,28,0,19,45,35,23,11,28,0,0,0,1
1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,11,0,13,0,11,0,0,23,0,0,0,0,1
1,0,0,21,0,23,0,46,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,22,31,24,0,45,47,0,42,0,0,0,35,0,1
1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,1
1,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
